Site,Depth (m),Morphotaxa,Bleaching Score 2019,Bleaching Score 2020,Bleaching Score difference between 2019 and 2020
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBHR,6,AcroporaHispidose,2,1,1
SBSR,6,AcroporaHispidose,1,1,0
SBHR,12,AcroporaHispidose,1,1,0
TT,12,AcroporaHispidose,1,1,0
BB,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,1,1,0
TT,6,AcroporaTabular,4,1,3
TT,6,AcroporaTabular,5,1,4
BB,12,AstreoporaMassive,3,1,2
BB,6,CyphastreaEncrusting,1,1,0
BB,6,CyphastreaEncrusting,1,1,0
SBHR,6,CyphastreaEncrusting,2,1,1
TT,6,CyphastreaEncrusting,4,1,3
BB,12,CyphastreaEncrusting,1,1,0
BB,12,CyphastreaEncrusting,4,1,3
BB,12,CyphastreaEncrusting,6,1,5
BB,12,CyphastreaEncrusting,6,1,5
BB,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,1,1,0
TT,12,CyphastreaEncrusting,1,1,0
TT,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,6,1,5
TT,12,CyphastreaEncrusting,6,3,3
TT,12,CyphastreaEncrusting,6,3,3
BB,6,DipsastraeaEncrusting,1,1,0
BB,12,DipsastraeaEncrusting,1,1,0
BB,12,DipsastraeaEncrusting,1,1,0
BB,12,DipsastraeaEncrusting,1,1,0
BB,12,DipsastraeaEncrusting,1,1,0
BB,12,DipsastraeaEncrusting,1,1,0
TT,12,DipsastraeaEncrusting,1,1,0
TT,12,DipsastraeaEncrusting,1,1,0
TT,12,DipsastraeaEncrusting,1,1,0
BB,6,DipsastraeaMassive,2,1,1
BB,6,DipsastraeaMassive,3,2,1
BB,6,DipsastraeaMassive,6,2,4
BB,6,DipsastraeaSubmassive,2,1,1
BB,6,DipsastraeaSubmassive,3,1,2
BB,6,DipsastraeaSubmassive,3,1,2
BB,6,DipsastraeaSubmassive,4,1,3
BB,6,DipsastraeaSubmassive,5,1,4
BB,6,DipsastraeaSubmassive,5,3,2
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,1,1,0
TT,6,DipsastraeaSubmassive,2,1,1
TT,6,DipsastraeaSubmassive,4,1,3
TT,6,DipsastraeaSubmassive,4,1,3
TT,6,DipsastraeaSubmassive,5,1,4
TT,6,DipsastraeaSubmassive,5,1,4
TT,6,DipsastraeaSubmassive,5,1,4
TT,6,DipsastraeaSubmassive,5,1,4
TT,6,DipsastraeaSubmassive,5,1,4
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,1,1,0
BB,12,DipsastraeaSubmassive,2,1,1
BB,12,DipsastraeaSubmassive,6,1,5
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,1,1,0
SBHR,12,DipsastraeaSubmassive,3,1,2
SBHR,12,DipsastraeaSubmassive,6,1,5
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
TT,12,DipsastraeaSubmassive,1,1,0
SBHR,6,EchinoporaBranching,6,1,5
SBHR,6,EchinoporaBranching,6,1,5
SBHR,6,EchinoporaBranching,6,1,5
SBHR,6,EchinoporaBranching,6,1,5
SBHR,6,EchinoporaBranching,6,2,4
SBHR,6,EchinoporaBranching,6,5,1
SBHR,6,EchinoporaBranching,6,6,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,1,1,0
BB,6,EchinoporaEncrusting,3,1,2
BB,6,EchinoporaEncrusting,3,1,2
BB,12,EchinoporaEncrusting,1,1,0
BB,12,EchinoporaEncrusting,3,1,2
BB,6,FavitesEncrusting,1,1,0
BB,6,FavitesEncrusting,1,1,0
BB,6,FavitesEncrusting,1,1,0
BB,6,FavitesEncrusting,1,1,0
BB,6,FavitesEncrusting,1,2,-1
BB,6,FavitesEncrusting,1,2,-1
BB,6,FavitesEncrusting,2,2,0
TT,6,FavitesEncrusting,1,1,0
TT,6,FavitesEncrusting,1,1,0
TT,6,FavitesEncrusting,1,1,0
TT,6,FavitesEncrusting,1,1,0
TT,6,FavitesEncrusting,1,1,0
TT,6,FavitesEncrusting,2,1,1
TT,6,FavitesEncrusting,2,1,1
TT,6,FavitesEncrusting,4,1,3
TT,6,FavitesEncrusting,5,1,4
TT,6,FavitesEncrusting,6,1,5
TT,6,FavitesEncrusting,6,1,5
TT,6,FavitesEncrusting,6,2,4
TT,6,FavitesEncrusting,6,2,4
TT,6,FavitesEncrusting,6,2,4
TT,6,FavitesEncrusting,6,2,4
BB,12,FavitesEncrusting,6,1,5
TT,12,FavitesEncrusting,1,1,0
TT,12,FavitesEncrusting,2,1,1
TT,12,FavitesEncrusting,2,1,1
TT,12,FavitesEncrusting,4,1,3
TT,12,FavitesEncrusting,5,1,4
TT,12,FavitesEncrusting,6,1,5
BB,6,FungiaSolitary,1,1,0
BB,6,FungiaSolitary,1,1,0
BB,6,FungiaSolitary,1,1,0
BB,6,FungiaSolitary,1,1,0
BB,6,FungiaSolitary,2,1,1
SBHR,6,FungiaSolitary,1,1,0
SBHR,6,FungiaSolitary,2,1,1
SBHR,6,FungiaSolitary,2,1,1
SBHR,6,FungiaSolitary,2,2,0
SBHR,6,FungiaSolitary,2,3,-1
SBHR,6,FungiaSolitary,2,3,-1
SBHR,6,FungiaSolitary,2,3,-1
SBHR,6,FungiaSolitary,2,6,-4
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,2,1,1
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,3,1,2
SBSR,6,FungiaSolitary,4,1,3
SBSR,6,FungiaSolitary,5,1,4
SBSR,6,FungiaSolitary,5,1,4
SBSR,6,FungiaSolitary,5,1,4
SBSR,6,FungiaSolitary,5,1,4
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
SBSR,6,FungiaSolitary,6,1,5
TT,6,FungiaSolitary,1,1,0
TT,6,FungiaSolitary,1,1,0
TT,6,FungiaSolitary,1,1,0
BB,12,FungiaSolitary,1,1,0
BB,12,FungiaSolitary,2,1,1
BB,12,FungiaSolitary,5,1,4
SBHR,12,FungiaSolitary,1,1,0
SBHR,12,FungiaSolitary,1,1,0
SBHR,12,FungiaSolitary,1,1,0
SBHR,12,FungiaSolitary,1,1,0
SBHR,12,FungiaSolitary,1,1,0
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,2,1,1
SBHR,12,FungiaSolitary,4,1,3
SBHR,12,FungiaSolitary,4,1,3
SBHR,12,FungiaSolitary,6,2,4
SBHR,12,FungiaSolitary,6,2,4
SBHR,12,FungiaSolitary,6,2,4
SBHR,12,FungiaSolitary,6,3,3
SBHR,12,FungiaSolitary,6,3,3
TT,12,FungiaSolitary,1,1,0
TT,12,FungiaSolitary,1,1,0
TT,12,FungiaSolitary,1,1,0
TT,12,FungiaSolitary,1,1,0
TT,12,FungiaSolitary,1,1,0
TT,12,FungiaSolitary,2,1,1
TT,12,FungiaSolitary,2,1,1
TT,12,FungiaSolitary,6,1,5
TT,12,FungiaSolitary,6,1,5
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,1,0
BB,6,GalaxeaEncrusting,1,2,-1
SBSR,6,GalaxeaEncrusting,1,1,0
SBSR,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,1,1,0
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
TT,6,GalaxeaEncrusting,2,1,1
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,1,0
BB,12,GalaxeaEncrusting,1,3,-2
BB,12,GalaxeaEncrusting,1,3,-2
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
TT,12,GalaxeaEncrusting,1,1,0
BB,6,GoniastreaEncrusting,1,1,0
BB,6,GoniastreaEncrusting,1,1,0
BB,6,GoniastreaEncrusting,1,1,0
BB,6,GoniastreaEncrusting,1,1,0
BB,6,GoniastreaEncrusting,3,1,2
BB,6,GoniastreaEncrusting,3,1,2
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,1,5
BB,6,GoniastreaEncrusting,6,2,4
BB,6,GoniastreaEncrusting,6,3,3
BB,6,GoniastreaEncrusting,6,3,3
BB,6,GoniastreaEncrusting,6,5,1
BB,6,GoniastreaEncrusting,6,6,0
TT,6,GoniastreaEncrusting,1,1,0
TT,6,GoniastreaEncrusting,1,1,0
TT,6,GoniastreaEncrusting,1,3,-2
TT,6,GoniastreaEncrusting,5,3,2
TT,6,GoniastreaEncrusting,5,3,2
TT,6,GoniastreaEncrusting,6,3,3
TT,6,GoniastreaEncrusting,6,3,3
BB,12,GoniastreaEncrusting,1,1,0
BB,12,GoniastreaEncrusting,1,1,0
BB,12,GoniastreaEncrusting,1,1,0
BB,12,GoniastreaEncrusting,5,1,4
BB,12,GoniastreaEncrusting,6,3,3
TT,12,GoniastreaEncrusting,1,1,0
TT,12,GoniastreaEncrusting,1,1,0
TT,12,GoniastreaEncrusting,4,1,3
TT,12,GoniastreaEncrusting,5,1,4
TT,12,GoniastreaEncrusting,5,1,4
TT,12,GoniastreaEncrusting,6,1,5
TT,12,GoniastreaEncrusting,6,1,5
TT,12,GoniastreaEncrusting,6,1,5
TT,12,GoniastreaEncrusting,6,3,3
BB,6,HelioporaColumnar,6,1,5
BB,6,HelioporaColumnar,6,1,5
BB,6,HelioporaColumnar,6,3,3
BB,6,HelioporaColumnar,6,3,3
BB,6,HelioporaColumnar,6,3,3
BB,6,HelioporaColumnar,6,3,3
BB,6,HelioporaColumnar,6,5,1
BB,6,HelioporaColumnar,6,5,1
BB,6,HelioporaColumnar,6,5,1
BB,6,HelioporaColumnar,6,5,1
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
BB,6,HelioporaColumnar,6,6,0
TT,6,HelioporaColumnar,6,1,5
TT,6,HelioporaColumnar,6,3,3
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,1,5
BB,12,HelioporaColumnar,6,3,3
BB,12,HelioporaColumnar,6,3,3
BB,12,HelioporaColumnar,6,5,1
BB,12,HelioporaColumnar,6,5,1
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
BB,12,HelioporaColumnar,6,6,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,1,1,0
TT,12,HelioporaColumnar,4,1,3
TT,12,HelioporaColumnar,4,1,3
TT,12,HelioporaColumnar,4,3,1
TT,12,HelioporaColumnar,4,3,1
SBSR,6,HerpolithaSolitary,2,1,1
BB,12,HydnophoraBranching,3,1,2
BB,6,HydnophoraEncrusting,1,1,0
BB,6,HydnophoraEncrusting,2,2,0
TT,6,HydnophoraEncrusting,6,1,5
TT,6,HydnophoraEncrusting,6,2,4
BB,12,HydnophoraEncrusting,2,2,0
SBHR,12,HydnophoraEncrusting,1,1,0
BB,6,LeptastreaEncrusting,1,1,0
BB,6,LeptastreaEncrusting,1,1,0
BB,6,LeptastreaEncrusting,1,1,0
BB,6,LeptastreaEncrusting,1,1,0
BB,6,LeptastreaEncrusting,1,1,0
